,country,actual_abundance,point_suitability,study_area_suitability,buffer_10k,buffer_50k,buffer_100k,country_suitability,coutry_area,suitable_area_km2,suitable_prop,,,Country,Observed Abundance,Coordinate suitability,Study Area Suitability,10km Buffer,50km Buffer,100km Buffer,Country,Proportion of Country,,,,,,prop>0.75,prop<0.2
29,Chile,275,0.816775818,0.816832336,0.810083138,0.749612401,0.650943992,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,275,0.82,0.82,0.81,0.75,0.65,0.62,0.254,,,,,,,
30,Chile,312.5,0.80308551,0.803056458,0.803588085,0.733975175,0.647245602,0.620158595,738017.5909,187183.2796,0.253629835,,,Chile,312.5,0.8,0.8,0.8,0.73,0.65,0.62,0.254,,,,,,,
31,Ecuador,0.317919075,NA,NA,NA,NA,0.496007186,0.61096086,256729.0189,59585.29691,0.232094125,,,Ecuador,0.32,NA,NA,NA,NA,0.5,0.61,0.232,,,,,,,
32,Ecuador,0.678632479,NA,NA,NA,NA,0.495954705,0.61096086,256729.0189,59585.29691,0.232094125,,,Ecuador,0.68,NA,NA,NA,NA,0.5,0.61,0.232,,,,,,,
33,France,5000,0.641713501,0.641713501,0.62413001,0.65051021,0.649227214,0.743054708,637161.2162,562842.6999,0.88335995,,,France,5000,0.64,0.64,0.62,0.65,0.65,0.74,0.883,,,,,,,
34,Gabon,6652.360515,NA,NA,NA,NA,NA,0.487018729,261718.203,8.72658873,3.33E-05,,,Gabon,6652.36,NA,NA,NA,NA,NA,0.49,0,,,,,,,
35,Japan,4750,NA,NA,NA,0.576536989,0.589961824,0.635044905,374167.9843,293111.3518,0.783368338,,,Japan,4750,NA,NA,NA,0.58,0.59,0.64,0.783,,,,,,,
36,Madagascar,7.654320988,0.546201477,0.54559613,0.53413075,0.522185688,0.517319863,0.580334389,596082.7359,71090.51072,0.119262825,,,Madagascar,7.65,0.55,0.55,0.53,0.52,0.52,0.58,0.119,,,,,,,
37,Madagascar,4.478873317,NA,NA,NA,NA,NA,0.580334389,596082.7359,71090.51072,0.119262825,,,Madagascar,4.48,NA,NA,NA,NA,NA,0.58,0.119,,,,,,,
38,Madagascar,0.06716671,0.487003265,0.522608215,0.510745431,0.522931502,0.538314133,0.580334389,596082.7359,71090.51072,0.119262825,,,Madagascar,0.07,0.49,0.52,0.51,0.52,0.54,0.58,0.119,,,,,,,
39,Madagascar,225.5639098,NA,NA,NA,0.503030818,0.594496125,0.580334389,596082.7359,71090.51072,0.119262825,,,Madagascar,225.56,NA,NA,NA,0.5,0.59,0.58,0.119,,,,,,,
40,Madagascar,17.86108049,NA,NA,0.495553882,0.503374299,0.546544002,0.580334389,596082.7359,71090.51072,0.119262825,,,Madagascar,17.86,NA,NA,0.5,0.5,0.55,0.58,0.119,,,,,,,
41,Madagascar,6.019711054,NA,NA,NA,NA,NA,0.580334389,596082.7359,71090.51072,0.119262825,,,Madagascar,6.02,NA,NA,NA,NA,NA,0.58,0.119,,,,,,,
42,New Caledonia,2.241250931,0.746257263,0.652176147,0.657521376,0.721472895,0.706994583,0.661586368,18934.52174,17406.72409,0.919311527,,,New Caledonia,2.24,0.75,0.65,0.66,0.72,0.71,0.66,0.919,,,,,,,
43,New Zealand,650,NA,NA,0.492554361,0.602963032,0.633723632,0.708121456,268712.4098,184365.1369,0.686105778,,,New Zealand,650,NA,NA,0.49,0.6,0.63,0.71,0.686,,,,,,,
44,Niger,0.569824514,NA,NA,NA,NA,NA,NA,1187814.339,NA,0,,,Niger,0.57,NA,NA,NA,NA,NA,0,0,,,,,,,
45,Portugal,0.3925,0.709971313,0.707711304,0.707895214,0.706345981,0.697561428,0.687534815,91507.4332,89925.4997,0.982712514,,,Portugal,0.39,0.71,0.71,0.71,0.71,0.7,0.69,0.983,,,,,,,
46,Portugal,0.278651685,0.698293396,0.693804626,0.691444915,0.693634625,0.694161199,0.687534815,91507.4332,89925.4997,0.982712514,,,Portugal,0.28,0.7,0.69,0.69,0.69,0.69,0.69,0.983,,,,,,,
47,Portugal,1.764705882,0.631848083,0.640408813,0.642150701,0.631838927,0.631838927,0.687534815,91507.4332,89925.4997,0.982712514,,,Portugal,1.76,0.63,0.64,0.64,0.63,0.63,0.69,0.983,,,,,,,
48,Puerto Rico,6.484848485,0.730713257,0.718527161,0.711788132,0.76682925,0.748883872,0.745344513,9054.782711,8422.955024,0.930221662,,,Puerto Rico,6.48,0.73,0.72,0.71,0.77,0.75,0.75,0.93,,,,,,,
49,United States of America,141.6666667,0.800092529,0.79920929,0.768625456,0.732962592,0.745379905,0.623431986,9469009.105,3258228.778,0.344093953,,,United States of America,141.67,0.8,0.8,0.77,0.73,0.75,0.62,0.344,,,,,,,
50,United States of America,6.5,0.720062744,0.724082703,0.739809085,0.68879975,0.682654307,0.623431986,9469009.105,3258228.778,0.344093953,,,United States of America,6.5,0.72,0.72,0.74,0.69,0.68,0.62,0.344,,,,,,,
51,United States of America,980,0.739323608,0.734719543,0.756503493,0.732962592,0.741721247,0.623431986,9469009.105,3258228.778,0.344093953,,,United States of America,980,0.74,0.73,0.76,0.73,0.74,0.62,0.344,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Country Suitability,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Country,Climate Only,round,Footprint,round,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,0.658924438,0.659,0.672441024,0.672,,,,,,,,,,,,,,,,,,,,,,,,
,Chile,0.639845343,0.64,0.620158595,0.62,,,,,,,,,,,,,,,,,,,,,,,,
,Ecuador,0.645207051,0.645,0.61096086,0.611,,,,,,,,,,,,,,,,,,,,,,,,
,France,0.757251646,0.757,0.743054708,0.743,,,,,,,,,,,,,,,,,,,,,,,,
,Gabon,0.524167797,0.524,0.487018729,0.487,,,,,,,,,,,,,,,,,,,,,,,,
,Japan,0.60286633,0.603,0.635044905,0.635,,,,,,,,,,,,,,,,,,,,,,,,
,Madagascar,0.543145664,0.543,0.580334389,0.58,,,,,,,,,,,,,,,,,,,,,,,,
,New Caledonia,0.572444859,0.572,0.661586368,0.662,,,,,,,,,,,,,,,,,,,,,,,,
,New Zealand,0.680602815,0.681,0.708121456,0.708,,,,,,,,,,,,,,,,,,,,,,,,
,Niger,0.500997884,0.501,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,Portugal,0.713159905,0.713,0.687534815,0.688,,,,,,,,,,,,,,,,,,,,,,,,
,Puerto Rico,0.597897272,0.598,0.745344513,0.745,,,,,,,,,,,,,,,,,,,,,,,,
,United States of America,0.606943633,0.607,0.623431986,0.623,,,,,,,,,,,,,,,,,,,,,,,,
